Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Agitation Associated With Schizophrenia,Common,20,80,both,Anxiety,Paranoid thoughts,Hallucinations,Delusions,Disorganized thinking,Agitation,Social withdrawal.,,,,,,,,,,,,,,,,,,
"Aids With Acyclovir,Resistant Varicella Zoster Virus Infection",Very Rare,20,80,both,Fever,Fatigue,Rash,Headache,Nausea,Vomiting,Abdominal Pain,,,,,,,,,,,,,,,,,,
Aids With Kaposi's Sarcoma,Common,20,80,both,Skin lesions (purple,red,or brown spots),Lesions in the mouth or throat,Swelling in the arms or legs,Shortness of breath,Coughing,Chest pain,,,,,,,,,,,,,,,,,
"Aids,Associated Neutropenia",Rare,20,80,both,Frequent infections,Fever,Chills,Weakness,Fatigue,Mouth sores,Skin infections.,,,,,,,,,,,,,,,,,,
Akathisia,Common,20,80,both,Restlessness,Inability to sit still,Constant need to move,Anxiety,Inner tension.,,,,,,,,,,,,,,,,,,,,
Alcohol Use Disorder,Common,20,80,both,Loss of control over alcohol consumption,Preoccupation with drinking,Continued use despite negative consequences,Withdrawal symptoms when not drinking.,,,,,,,,,,,,,,,,,,,,,
Alcohol Withdrawal Delirium,Rare,20,80,both,Disorientation,Hallucinations (usually visual),Severe agitation,Tremors,Rapid heart rate,sweating,,,,,,,,,,,,,,,,,,,
Alcohol Withdrawal Syndrome,Common,20,80,both,Tremors,Anxiety,Nausea,Vomiting,Sweating,Headache,Insomnia,Hallucinations,Seizures,,,,,,,,,,,,,,,,
Aldosteronism,Rare,20,80,both,High blood pressure,Low potassium levels,Weakness,Fatigue,Headache,Excessive urination,Thirst.,,,,,,,,,,,,,,,,,,
"Alk,Positive Inflammatory Myofibroblastic Tumor",Very Rare,0,80,both,Abdominal Pain,Fever,Weight loss,Fatigue,Blood in urine,Bowel obstruction symptoms (if tumor presses on nearby structures).,,,,,,,,,,,,,,,,,,,
Allergic Bronchopulmonary Aspergillosis,Rare,10,80,both,Coughing,Wheezing,Shortness of breath,Fever,Chest pain,Fatigue,,,,,,,,,,,,,,,,,,,
Allergic Conjunctivitis,Common,0,80,both,Red,itchy,watery eyes,Swelling of the eyelids,Burning or stinging sensation in the eyes,Increased tearing,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,
Allergic Dermatitis,Common,0,80,both,Itchy,red,swollen skin,Rash,Blisters,Dry skin,scaly skin,cracked skin,Hives,Eczema.,,,,,,,,,,,,,,,
Allergic Otitis Externa,Very Rare,0,80,both,Ear pain,Itching in the ear canal,Drainage from the ear,Decreased hearing.,,,,,,,,,,,,,,,,,,,,,
Allergic Reaction,Common,0,80,both,Itching,Hives,Rash,Swelling,Shortness of breath,Wheezing,Anaphylaxis.,,,,,,,,,,,,,,,,,,
Allergic Reaction To Insect Venom,Common,0,80,both,Pain,Redness,Swelling,Itching,Hives,Difficulty breathing,Rapid heartbeat,Nausea,Vomiting,,,,,,,,,,,,,,,,
Allergic Rhinitis,Common,0,80,both,Sneezing,Runny or stuffy nose,Itchy or watery eyes,Itchy throat or ears,Coughing,Fatigue,,,,,,,,,,,,,,,,,,,
Allergic Rhinitis Due To Grass Pollen,Rare,0,80,both,Sneezing,Runny or stuffy nose,Itchy or watery eyes,Itchy throat or ears,Coughing,Fatigue,,,,,,,,,,,,,,,,,,,
Allergic Rhinitis Due To House Dust Mite,Rare,0,80,both,Sneezing,Runny or stuffy nose,Itchy or watery eyes,Itchy throat or ears,Coughing,Fatigue,,,,,,,,,,,,,,,,,,,
Allergic Rhinitis Due To Ragweed Pollen,Rare,0,80,both,Avoidance of known allergens,Environmental control measures,Allergen immunotherapy.,,,,,,,,,,,,,,,,,,,,,,
Allergic Rhinitis Prevention,Very Rare,0,80,both,Increased white blood cell count,Fever,Chills,Sweating,Fatigue,Weakness,Shortness of breath,Palpitations.,,,,,,,,,,,,,,,,,
Allogeneic Hematopoietic Stem Cell Transplant Neutrophil Recovery,Rare,0,80,both,Hair loss,Patchy or complete baldness on the scalp,Loss of hair from other parts of the body.,,,,,,,,,,,,,,,,,,,,,,
Alopecia,Rare,0,80,both,Sudden hair loss in small,round patches,Itching or burning in affected areas,Nail abnormalities.,swelling of the eyelids,,,,,,,,,,,,,,,,,,,,
Alopecia Areata,Very Rare,0,80,both,Coarse facial features,Enlarged head,Low muscle tone,Skeletal abnormalities,Hearing loss,Intellectual disability.,,,,,,,,,,,,,,,,,,,
"Alpha,Mannosidosis",Rare,0,80,both,Abdominal Pain,Yellowing of the skin and eyes (jaundice),Enlarged liver,Coughing,Chest pain,Shortness of breath,Allergic reactions.,Enlarged spleen,,,,,,,,,,,,,,,,,
Alveolar Echinococcosis,Very Rare,20,80,both,Abdominal Pain,Yellowing of the skin and eyes (jaundice),Enlarged liver,Coughing,Chest pain,Shortness of breath,Allergic reactions.,Enlarged spleen,,,,,,,,,,,,,,,,,
Alveolar Soft Part Sarcoma,Rare,10,80,both,Pain or swelling in the affected area,Mass or lump,Fatigue,Weight loss,Blood in urine,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Common,20,80,both,Memory loss,Difficulty completing familiar tasks,Disorientation,Challenges in planning or solving problems,Changes in mood or personality.,,,,,,,,,,,,,,,,,,,,
Amenorrhea,Common,40,90,both,Absence of menstrual periods.,,,,,,,,,,,,,,,,,,,,,,,,
Amenorrhea Secondary To Ovarian Dysfunction,Uncommon,20,50,female,Absence of menstrual periods due to hormonal imbalances.,,,,,,,,,,,,,,,,,,,,,,,,
"Amyloid Light,Chain Amyloidosis",Very Rare,20,80,both,Weakness,Fatigue,Shortness of breath,Swelling in legs and ankles,Numbness or tingling in hands or feet.,,,,,,,,,,,,,,,,,,,,
Amyloidosis,Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Swelling in legs and ankles,Numbness or tingling in hands or feet.,,,,,,,,,,,,,,,,,,,,
Amyotrophic Lateral Sclerosis,Rare,40,80,both,Muscle weakness,Muscle stiffness,Muscle twitching,Difficulty speaking,Impaired motor function,Muscle atrophy.,Difficulty breathing,,,,,,,,,,,,,,,,,,
Amyotrophic Lateral Sclerosis With Superoxide Dismutase Gene Mutation,Rare,40,80,both,Muscle weakness,Muscle stiffness,Muscle twitching,Difficulty speaking,Impaired motor function,Muscle atrophy.,Difficulty breathing,,,,,,,,,,,,,,,,,,
Anaerobic Endometritis,Rare,20,60,female,Pelvic pain,Abnormal vaginal bleeding,Fever,"Foul,smelling vaginal discharge.",,,,,,,,,,,,,,,,,,,,,
Anaerobic Joint Infection,Rare,20,80,both,Joint pain,Swelling,Redness,Warmth,Limited range of motion,Fever,,,,,,,,,,,,,,,,,,,
Anaerobic Lung Abscess,Rare,20,80,both,Coughing,Chest pain,Shortness of breath,Fever,Fatigue,Night sweats,,,,,,,,,,,,,,,,,,,
Anaerobic Pelvic Cellulitis,Rare,20,60,female,Pelvic pain,Fever,Swelling,Redness,Warmth,Tenderness in the pelvic area.,,,,,,,,,,,,,,,,,,,
Anaerobic Peritonitis,Rare,20,80,both,Abdominal Pain,bloating,Fever,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,
Anaerobic Pneumonia,Rare,20,80,both,Coughing,Shortness of breath,Chest pain,Fever,Fatigue,,,,,,,,,,,,,,,,,,,,
"Anaerobic Tubo,Ovarian Abscess",Rare,20,60,female,Lower Abdominal Pain,Fever,Vaginal discharge,Pain during intercourse,Irregular menstrual bleeding,,,,,,,,,,,,,,,,,,,,
Anal Fissure,Common,0,80,both,painful bowel movements,Itching or irritation around the anal area,Blood on toilet paper or in stools,Anal spasms.,,,,,,,,,,,,,,,,,,,,,
Anaphylaxis,Common,0,80,both,Hives,Itching or flushed skin,Swelling of the face,lips,tongue,or throat,Difficulty breathing,Wheezing,Rapid pulse,Dizziness,Loss of consciousness.,,,,,,,,,,,,,,
Anaphylaxis Adjunct,Very Rare,20,60,both,Administration of epinephrine,Antihistamines,Corticosteroids,Oxygen,Intravenous fluids.,,,,,,,,,,,,,,,,,,,,
Anaplastic Astrocytoma,Rare,20,80,both,Headache,Seizures,Nausea,Vomiting,Changes in hearing,Weakness or numbness on one side of the body,Difficulty with balance or coordination.,,,,,,,,,,,,,,,,,,
"Anaplastic Lymphoma Kinase (Alk),Positive Systemic Anaplastic Large Cell Lymphoma",Very Rare,20,80,both,Swollen lymph nodes,Fever,Night sweats,Fatigue,Weight loss,Skin lesions or bumps.,,,,,,,,,,,,,,,,,,,
"Anaplastic Lymphoma Kinase Positive Non,Small Cell Lung Cancer",Very Rare,20,80,both,Coughing,Shortness of breath,Chest pain,Fatigue,Weight loss,Bone pain,Headache,Neurological symptoms (if cancer spreads to the brain).,,,,,,,,,,,,,,,,,
Anaplastic Thyroid Carcinoma With Braf V600e Mutation,Very Rare,20,80,both,Swelling or lump in the neck,Difficulty swallowing,Hoarseness,Neck pain,Enlarged lymph nodes,Fatigue,Weight loss,Difficulty breathing,,,,,,,,,,,,,,,,,
Ancylostoma Duodenale Infection,Rare,0,80,both,Abdominal Pain,Nausea,Vomiting,Diarrhea,Blood in stool,Anemia.,,,,,,,,,,,,,,,,,,,
Androgen Deficiency,Common,20,80,both,Fatigue,Reduced libido,Erectile dysfunction,Decreased muscle mass,Mood changes,Hot flashes.,,,,,,,,,,,,,,,,,,,
Anemia Due To Bleeding Uterine Leiomyoma,Rare,20,50,female,Excessive menstrual bleeding,Prolonged menstrual periods,Pelvic pain or pressure,Fatigue,Weakness,Shortness of breath,,,,,,,,,,,,,,,,,,,
Anemia Due To Chemotherapy And Radiotherapy Combination,Rare,20,80,both,Fatigue,Weakness,Paleness,Shortness of breath,Dizziness or lightheadedness,Chest pain,,,,,,,,,,,,,,,,,,,
Anemia Due To Myelodysplastic Syndrome,Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Paleness,Dizziness,Chest pain,Irregular heartbeat.,,,,,,,,,,,,,,,,,,
Anemia In Beta Thalassemia,Rare,0,80,both,Fatigue,Weakness,Paleness,Facial bone deformities,Enlarged spleen,Dark urine.,yellowish skin,,,,,,,,,,,,,,,,,,
Anemia In Chronic Kidney Disease,Common,20,80,both,Fatigue,Weakness,Shortness of breath,Dizziness,Paleness,Cold hands and feet.,yellowish skin,,,,,,,,,,,,,,,,,,
"Anemia In Hemodialysis,Dependent Chronic Kidney Disease",Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Dizziness,Paleness,Cold hands and feet.,yellowish skin,,,,,,,,,,,,,,,,,,
Anemia In Myelodysplastic Syndrome With Ring Sideroblasts,Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Dizziness,Paleness,Cold hands and feet.,yellowish skin,,,,,,,,,,,,,,,,,,
Anemia In Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts And Thrombocytosis,Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Dizziness,Paleness,Cold hands and feet.,yellowish skin,,,,,,,,,,,,,,,,,,
"Anemia In Non,Dialysis,Dependent Chronic Kidney Disease",Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Paleness,Cold hands and feet,Dizziness,Chest pain,yellowish skin,,,,,,,,,,,,,,,,,
Anemia Of Prematurity,Rare,0,2,both,Paleness,Rapid breathing,Poor weight gain,Difficulty feeding,Low blood pressure,Rapid heart rate,,,,,,,,,,,,,,,,,,,
Angina,Common,20,80,both,Chest pain,Pressure or squeezing in the chest,Pain radiating to the arms,shoulders,jaw,neck,or back,Shortness of breath,Nausea,Fatigue,,,,,,,,,,,,,,,
Angioedema,Common,20,80,both,Swelling of the skin,typically around the eyes,lips,tongue,throat,or genitals,Itching or burning sensation,Abdominal Pain,Difficulty breathing,Hoarseness,difficulty swallowing,,,,,,,,,,,,,,
Angiostrongyliasis Due To Angiostrongylus Cantonensis,Very Rare,0,80,both,Headache,Neck stiffness,Nausea,Vomiting,Fever,Fatigue,Tingling or painful sensations in the skin.,,,,,,,,,,,,,,,,,,
Angiostrongyliasis Due To Angiostrongylus Costaricensis,Very Rare,0,80,both,Abdominal Pain,Nausea,Vomiting,Fever,Fatigue,Weight loss,Diarrhea,Bloody stools.,,,,,,,,,,,,,,,,,
"Angle,Closure Glaucoma",Rare,20,80,both,Severe eye pain,Blurred vision,Halos around lights,Headache,Nausea,Vomiting,Redness in the eye,Dilated pupil.,,,,,,,,,,,,,,,,,
Ankylosing Spondylitis,Common,20,80,both,Back pain,Stiffness and limited mobility in the spine,Pain and stiffness in the hips and shoulders,Fatigue,Reduced flexibility in the spine.,,,,,,,,,,,,,,,,,,,,
Ankylosing Spondylitis In Patient At High Gastric Ulcer Risk,Rare,20,80,both,Back pain,Stiffness and limited mobility in the spine,Pain and stiffness in the hips and shoulders,Fatigue,Reduced flexibility in the spine,Stomach pain,Nausea,Vomiting,Gastrointestinal bleeding.,,,,,,,,,,,,,,,,
Anorexia From Hiv,Rare,20,80,both,Weight loss,Loss of appetite,Fatigue,Weakness,Opportunistic infections,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,
Anorexia Nervosa,Rare,20,80,both,Weight loss,Intense fear of gaining weight,Distorted body image,Restricted eating,Fatigue,Insomnia,Dizziness or fainting,Hair thinning,Amenorrhea.,,,,,,,,,,,,,,,,
Anoxia Due To High Altitude,Common,20,80,both,Shortness of breath,Headache,Dizziness,Fatigue,Nausea,Confusion,Rapid heart rate,Loss of consciousness.,,,,,,,,,,,,,,,,,
Anterior Uveitis,Rare,20,80,both,Eye pain,Redness in the eye,Blurred vision,Sensitivity to light (photophobia),Tearing,Small or irregularly shaped pupil.,,,,,,,,,,,,,,,,,,,
Anthrax,Very Rare,0,80,both,Fever,Chills,Fatigue,Coughing,Shortness of breath,Chest pain,Nausea,Vomiting,Swelling of lymph nodes,Skin sores.,,,,,,,,,,,,,,,
Anthrax Septicemia,Very Rare,0,80,both,High fever,Chills,Rapid heart rate,Low blood pressure,Confusion,Nausea,Vomiting,Shock.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anti,Acetylcholine Receptor (Achr) Antibody Positive Generalized Myasthenia Gravis",Rare,20,80,both,Muscle weakness,Drooping eyelid(s),Double vision,Difficulty swallowing,Difficulty speaking,Fatigue,Shortness of breath,,,,,,,,,,,,,,,,,,
"Anti,Muscle,Specific Tyrosine Kinase (Musk) Antibody Positive Generalized Myasthenia Gravis",Rare,20,80,both,Muscle weakness,Drooping eyelid(s),Difficulty swallowing,Difficulty speaking,Fatigue,Muscle atrophy,Shortness of breath,,,,,,,,,,,,,,,,,,
"Antibiotic,Induced Hypoprothrombinemia",Rare,20,80,both,Excessive bruising,Excessive bleeding,Nosebleeds,Bleeding gums,Blood in urine or stool,Prolonged bleeding,,,,,,,,,,,,,,,,,,,
Anticholinergic Toxicity,Uncommon,20,80,both,Dry mouth,Blurred vision,Constipation,Urinary retention,Confusion,Hallucinations,Agitation,Rapid heart rate,,,,,,,,,,,,,,,,,
"Anticoagulant,Induced Prothrombin Deficiency",Rare,20,80,both,Excessive bruising,Excessive bleeding,Nosebleeds,Bleeding gums,Blood in urine or stool,Prolonged bleeding,,,,,,,,,,,,,,,,,,,
"Anticonvulsant,Induced Osteomalacia",Rare,20,80,both,Bone pain,Muscle weakness,Fractures,Difficulty walking,Fatigue,Bone deformities.,,,,,,,,,,,,,,,,,,,
Antithrombin Iii Deficiency,Rare,20,80,both,Increased risk of blood clots,Deep vein thrombosis,Pulmonary embolism,Recurrent pregnancy loss,Swelling and pain in the limbs,Shortness of breath,,,,,,,,,,,,,,,,,,,
Anxiety,Common,20,80,both,Excessive worry,Restlessness,Fatigue,Difficulty concentrating,Irritability,Muscle tension,Sleep disturbances,,,,,,,,,,,,,,,,,,
Anxiety Associated With Menopause,Rare,40,80,female,Excessive worry,Restlessness,Hot flashes,Night sweats,Mood swings,Fatigue,Difficulty concentrating.,,,,,,,,,,,,,,,,,,
Anxiety With Depression,Rare,20,80,both,Excessive worry,Restlessness,Sadness,Loss of interest in activities,Fatigue,Difficulty concentrating,Sleep disturbances,,,,,,,,,,,,,,,,,,
Aphakic Glaucoma,Rare,20,80,both,Eye pain,Headache,Blurred vision,Nausea,Vomiting,Increased intraocular pressure,Seeing halos around lights.,,,,,,,,,,,,,,,,,,
Aphthous Stomatitis,Common,0,80,both,Painful sores or ulcers in the mouth,Burning or tingling sensation in the mouth,Difficulty eating or speaking,Swelling in the mouth.,,,,,,,,,,,,,,,,,,,,,
Aplastic Anemia,Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Paleness,Frequent infections,Easy bruising or bleeding,Dizziness.,,,,,,,,,,,,,,,,,,
Appendicitis,Common,0,80,both,Abdominal Pain (starting around the navel and moving to the lower right abdomen),Nausea,Vomiting,Loss of appetite,Fever,Swelling of the abdomen,Constipation,Diarrhea,,,,,,,,,,,,,,,,,
Apprehension,Very Rare,20,80,both,Nervousness,Fear,Restlessness,Sweating,Rapid heartbeat,Dry mouth,Difficulty concentrating.,,,,,,,,,,,,,,,,,,
Arginase Deficiency,Very Rare,0,80,both,Progressive spasticity,Developmental delay,Seizures,Poor growth,Hyperammonemia,Intellectual disability.,,,,,,,,,,,,,,,,,,,
Argininosuccinate Lyase Deficiency,Very Rare,0,80,both,Vomiting,Lethargy,Seizures,Developmental delay,Failure to thrive,Hyperammonemia,Liver dysfunction.,,,,,,,,,,,,,,,,,,
Arrhythmias During Surgery,Uncommon,20,80,both,Irregular heartbeat,Palpitations,Dizziness,Shortness of breath,Chest pain,Fatigue,Lightheadedness.,,,,,,,,,,,,,,,,,,
Arsenic Toxicity,Rare,20,80,both,Abdominal Pain,Nausea,Vomiting,Diarrhea,Muscle cramps,Skin changes (such as darkening),Numbness or tingling in the extremities.,,,,,,,,,,,,,,,,,,
Arteriosclerotic Parkinsonism,Very Rare,40,80,both,Tremors,Bradykinesia,Rigidity,Postural instability,Difficulty walking,Cognitive impairment.,,,,,,,,,,,,,,,,,,,
Arthritic Pain,Common,20,80,both,Joint pain,Swelling,Stiffness,Reduced range of motion,Tenderness,Redness,Warmth around the affected joint.,,,,,,,,,,,,,,,,,,
Arthropod Bite Wound,Common,0,80,both,Pain at the bite site,Swelling,Redness,Itching,Rash,Inflammation,Fever,,,,,,,,,,,,,,,,,,
Ascariasis,Rare,0,80,both,Abdominal Pain,Nausea,Vomiting,Diarrhea,Weight loss,Fatigue,Worms in stool.,,,,,,,,,,,,,,,,,,
Aspergillosis,Rare,0,80,both,Fever,Coughing,Shortness of breath,Chest pain,Weight loss,Fatigue,Coughing up blood,,,,,,,,,,,,,,,,,,
Aspiration Pneumonia,Common,0,80,both,Coughing,Fever,Shortness of breath,Chest pain,Wheezing,Fatigue,difficulty swallowing,,,,,,,,,,,,,,,,,,
Aspiration Pneumonitis,Rare,0,80,both,Coughing,Fever,Shortness of breath,Chest pain,Wheezing,Difficulty swallowing,Cyanosis.,,,,,,,,,,,,,,,,,,
Asthma,Common,0,60,both,Shortness of breath,Wheezing,Chest tightness,Coughing,Fatigue,Difficulty sleeping,,,,,,,,,,,,,,,,,,,
Asthma Exacerbation,Common,0,60,both,Shortness of breath,Increased wheezing,Chest tightness,Coughing,Rapid breathing,Anxiety.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atelectasis Due To Mucous Obstruction,Uncommon,0,80,both,Difficulty breathing,Rapid shallow breathing,Coughing,Low oxygen levels,Cyanosis,Reduced breath sounds on affected side.,,,,,,,,,,,,,,,,,,,
Atherosclerotic Cardiovascular Disease,Common,20,80,both,Chest pain,Shortness of breath,Fatigue,Heart palpitations,Dizziness,Swelling in the legs.,,,,,,,,,,,,,,,,,,,
Atonic Seizure,Rare,0,80,both,Sudden loss of muscle tone,Brief lapses in awareness,Drooping eyelid(s),Head nodding,Falling to the ground.,,,,,,,,,,,,,,,,,,,,
Atopic Dermatitis,Common,20,80,both,Itchy skin,Rash,Dry skin,Thickened skin,Cracks in the skin,Swelling.,Scaly skin,,,,,,,,,,,,,,,,,,
Atrioventricular Block,Rare,20,80,both,Slow heart rate,Dizziness,Fatigue,Shortness of breath,Chest pain,Fainting spells.,,,,,,,,,,,,,,,,,,,
Atrophic Vaginitis Associated With Menopause,Rare,20,80,both,Vaginal dryness,Itching,Burning sensation,Pain during intercourse,Vaginal discharge,Urinary symptoms.,,,,,,,,,,,,,,,,,,,
Atrophy Of Vulva,Rare,0,80,both,Thinning of the vulvar skin,Itching,Burning sensation,Pain during intercourse,Vulvar dryness.,,,,,,,,,,,,,,,,,,,,
"Attention,Deficit Hyperactivity Disorder",Common,0,18,both,Inattention,Hyperactivity,Impulsivity,Difficulty staying focused,Disorganization,Restlessness.,,,,,,,,,,,,,,,,,,,
Atypical Absence Seizures,Rare,0,18,both,"Brief episodes of staring or ""absence"" without memory loss",Confusion,Unresponsiveness,Lip smacking,Eyelid fluttering,Mild repetitive movements.,,,,,,,,,,,,,,,,,,,
Atypical Hemolytic Uremic Syndrome,Rare,0,80,both,Fatigue,Weakness,Paleness,Shortness of breath,Decreased urine output,Swelling in the legs,Confusion,,,,,,,,,,,,,,,,,,
Atypical Mycobacterial Infection,Rare,0,80,both,Coughing,Weight loss,Fever,Night sweats,Fatigue,Shortness of breath,Skin lesions.,,,,,,,,,,,,,,,,,,
Autoimmune Hemolytic Anemia,Rare,0,80,both,Fatigue,Weakness,Paleness,Shortness of breath,Rapid heartbeat,Yellowing of the skin and eyes (jaundice),Dark urine.,,,,,,,,,,,,,,,,,,
Autoimmune Hepatitis,Rare,0,80,both,Fatigue,Abdominal Pain,Yellowing of the skin and eyes (jaundice),Joint pain,Itchy skin,Enlarged liver,nausea,,,,,,,,,,,,,,,,,,
Autosomal Dominant Polycystic Kidney Disease,Rare,20,80,both,High blood pressure,Back or side pain,Headache,Blood in urine,Kidney stones,Urinary tract infections.,,,,,,,,,,,,,,,,,,,
"B,Cell Acute Lymphoblastic Leukemia",Uncommon,0,80,both,Fatigue,Weakness,Fever,Frequent infections,Easy bruising,Bone pain,Swollen lymph nodes,Easy bleeding,,,,,,,,,,,,,,,,,
B. Fragilis Infection,Rare,0,80,both,Abdominal Pain,Fever,Diarrhea,Nausea,Vomiting,Swelling and redness of the skin,,,,,,,,,,,,,,,,,,,
Babesiosis,Very Rare,0,80,both,Fever,Chills,Sweats,Fatigue,Muscle aches,Headache,Nausea,Dark urine.,,,,,,,,,,,,,,,,,
Back Pain,Common,20,80,both,Muscle ache,Shooting or stabbing pain,Pain that radiates down your leg,Pain that worsens with bending,lifting,standing,or walking.,,,,,,,,,,,,,,,,,,
Bacterial Blepharitis,Common,0,80,both,Red,swelling of the eyelids,Itching,Burning sensation,Crusty eyelashes,Tearing,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,
